code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E06000022,Bath and North East Somerset UA,13000.0,29900.0,16400.0,72000.0,37400.0,27000.0,28000.0,21500.0,17600.0,99000.0,41800.0,28700.0,99000.0,7430.0,2750.0,735570000.0,388700000.0,2692800000.0,602000000.0,4138200000.0
E06000023,Bristol UA,27000.0,24700.0,15800.0,185000.0,33500.0,26800.0,40000.0,19200.0,16300.0,227000.0,36500.0,27800.0,227000.0,5600.0,2720.0,1271200000.0,666900000.0,6197500000.0,768000000.0,8285500000.0
E06000024,North Somerset UA,12000.0,23200.0,14600.0,86000.0,33800.0,26000.0,37000.0,21100.0,17700.0,120000.0,36700.0,27600.0,120000.0,5630.0,2670.0,675600000.0,278400000.0,2906800000.0,780700000.0,4404000000.0
E06000025,South Gloucestershire UA,16000.0,22600.0,16500.0,120000.0,33900.0,27900.0,40000.0,19600.0,17700.0,156000.0,36700.0,28600.0,156000.0,5550.0,2810.0,865800000.0,361600000.0,4068000000.0,784000000.0,5725200000.0
E06000026,Plymouth UA,11000.0,20600.0,16200.0,99000.0,28600.0,24000.0,38000.0,17900.0,16600.0,131000.0,29700.0,24000.0,131000.0,3500.0,2050.0,458500000.0,226600000.0,2831400000.0,680200000.0,3890700000.0
E06000027,Torbay UA,9533.898305084746,28918.0790960452,16401.214689265536,68101.69491525424,36455.64971751413,26956.214689265536,22824.858757062146,19919.774011299436,17008.19209039548,89420.90395480226,39329.943502824855,27862.146892655368,89420.90395480226,6828.926553672316,2726.129943502825,610648785.470331,275702025.28009194,2482691534.9995213,454666028.2805069,3516919100.5139003
E06000030,Swindon UA,11000.0,20100.0,17300.0,98000.0,34200.0,26600.0,26000.0,17200.0,15600.0,121000.0,34700.0,26700.0,121000.0,5010.0,2630.0,606210000.0,221100000.0,3351600000.0,447200000.0,4198700000.0
E06000031,Peterborough UA,10000.0,23300.0,17300.0,78000.0,30100.0,24000.0,19000.0,18700.0,16300.0,97000.0,31700.0,24500.0,97000.0,4270.0,2230.0,414190000.0,233000000.0,2347800000.0,355300000.0,3074900000.0
E06000032,Luton UA,11000.0,20600.0,16000.0,71000.0,29200.0,25300.0,15000.0,17700.0,15600.0,89000.0,30300.0,25500.0,89000.0,3690.0,2380.0,328410000.0,226600000.0,2073200000.0,265500000.0,2696700000.0
E06000033,Southend-on-Sea UA,10000.0,24700.0,18600.0,64000.0,38700.0,28200.0,21000.0,20200.0,17100.0,84000.0,39900.0,29000.0,84000.0,6860.0,2900.0,576240000.0,247000000.0,2476800000.0,424200000.0,3351600000.0
E06000034,Thurrock UA,12000.0,23600.0,18700.0,71000.0,34600.0,28800.0,15000.0,17900.0,17100.0,89000.0,35700.0,29200.0,89000.0,5140.0,3000.0,457460000.0,283200000.0,2456600000.0,268500000.0,3177300000.0
E06000035,Medway Towns UA,16000.0,21600.0,18100.0,106000.0,33900.0,28100.0,31000.0,18500.0,17200.0,138000.0,34500.0,28000.0,138000.0,4790.0,2750.0,661020000.0,345600000.0,3593400000.0,573500000.0,4761000000.0
E06000036,Bracknell Forest UA,5000.0,26600.0,18400.0,55000.0,42900.0,31200.0,15000.0,20900.0,17600.0,68000.0,44300.0,32500.0,68000.0,8200.0,3530.0,557600000.0,133000000.0,2359500000.0,313500000.0,3012400000.0
