code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E14000547,Bath,6,"34,000","16,400",35,"39,500","27,900",11,"24,000","18,300",46,"45,400","30,100",46,"8,620","3,050",393
E14000548,Batley and Spen,4,"17,000","13,700",35,"28,900","24,100",10,"16,300","14,900",45,"29,900","24,500",45,"3,660","2,080",163
E14000549,Battersea,8,"81,200","14,900",58,"78,300","40,600",7,"23,200","16,800",67,"87,100","41,500",67,"25,100","5,270","1,680"
E14000550,Beaconsfield,7,"61,500","20,500",44,"60,400","33,300",19,"28,200","19,600",62,"67,700","37,100",62,"17,000","4,220","1,060"
E14000551,Beckenham,6,"39,700","17,900",40,"53,000","35,200",14,"24,100","20,300",54,"54,900","36,000",54,"12,000","4,170",646
E14000552,Bedford,5,"28,600","19,900",41,"33,400","26,600",12,"18,500","16,700",53,"34,100","26,400",53,"4,920","2,470",261
E14000553,Bermondsey and Old Southwark,8,"41,300","15,400",67,"54,300","34,300",6,"20,100","14,700",74,"58,400","35,200",74,"13,800","4,170","1,020"
E14000554,Berwick-upon-Tweed,6,"21,600","15,000",22,"27,900","22,400",17,"19,300","16,000",37,"32,000","24,100",37,"4,410","2,100",165
E14000555,Bethnal Green and Bow,8,"30,700","17,200",61,"49,000","33,500",3,"15,400","11,600",67,"51,600","34,400",67,"11,100","4,000",742
E14000556,Beverley and Holderness,5,"23,600","16,400",35,"30,500","24,900",21,"18,900","16,900",51,"33,500","25,300",51,"4,660","2,310",239
E14000557,Bexhill and Battle,8,"30,300","16,300",36,"32,700","23,800",21,"21,400","17,400",55,"37,600","26,100",55,"6,050","2,380",335
E14000558,Bexleyheath and Crayford,5,"20,800","18,300",43,"37,100","30,300",13,"17,100","15,600",53,"37,800","30,100",53,"5,840","3,200",311
E14000559,Birkenhead,3,"22,800","15,900",27,"30,500","25,300",10,"18,700","16,100",36,"30,600","24,400",36,"3,960","2,220",144
E14000560,"Birmingham, Edgbaston",4,"47,200","16,300",33,"35,500","26,200",9,"20,000","17,900",42,"40,700","27,200",42,"7,180","2,670",305
E14000561,"Birmingham, Erdington",3,"17,500","15,100",33,"25,400","22,500",8,"14,800","14,400",40,"26,100","22,300",40,"2,630","1,780",106
E14000562,"Birmingham, Hall Green",4,"29,300","14,800",35,"29,500","24,000",7,"20,200","16,100",43,"32,700","24,900",43,"4,490","2,270",191
E14000563,"Birmingham, Hodge Hill",3,"15,800","14,900",26,"26,200","22,200",5,"15,900","15,700",31,"26,900","22,400",31,"2,850","1,770",90
E14000564,"Birmingham, Ladywood",4,"18,200","13,700",39,"29,400","24,700",3,"15,200","14,000",43,"30,400","24,700",43,"3,940","2,200",169
E14000565,"Birmingham, Northfield",3,"22,300","19,000",33,"30,800","26,600",12,"15,400","15,200",43,"30,600","25,100",43,"3,720","2,260",159
E14000566,"Birmingham, Perry Barr",4,"19,400","15,600",30,"27,200","24,100",7,"13,900","14,000",37,"28,100","24,500",37,"3,040","2,260",112
E14000567,"Birmingham, Selly Oak",4,"19,200","14,100",32,"32,300","26,600",12,"17,200","16,200",43,"32,300","25,500",43,"4,330","2,300",185
E14000568,"Birmingham, Yardley",4,"18,600","17,100",33,"26,500","22,800",8,"14,800","15,400",41,"26,700","22,400",41,"2,790","1,710",114
E14000569,Bishop Auckland,4,"18,400","13,900",31,"28,400","23,600",14,"19,200","16,600",44,"29,900","23,800",44,"3,610","2,010",159
E14000570,Blackburn,3,"19,000","14,500",35,"26,900","22,700",8,"16,700","16,100",42,"28,500","23,100",42,"3,250","1,980",137
E14000571,Blackley and Broughton,5,"19,700","15,600",34,"26,400","22,700",6,"15,400","14,500",40,"29,400","23,900",40,"3,340","2,060",133
E14000572,Blackpool North and Cleveleys,3,"19,100","14,300",28,"26,300","22,600",11,"16,400","15,900",37,"27,400","23,100",37,"2,920","1,870",109
E14000573,Blackpool South,3,"14,800","14,100",24,"24,900","21,300",9,"17,200","16,700",33,"25,500","21,400",33,"2,600","1,540",87
E14000574,Blaydon,2,"23,700","16,800",33,"32,200","26,500",13,"19,000","16,900",44,"32,400","26,200",44,"4,220","2,530",185
E14000575,Blyth Valley,3,"18,400","14,500",33,"28,400","25,400",14,"16,800","15,800",45,"29,000","24,900",45,"3,320","2,300",148
E14000576,Bognor Regis and Littlehampton,6,"20,100","17,600",36,"27,400","23,000",18,"18,800","16,700",53,"29,800","24,500",53,"3,600","2,130",190
E14000577,Bolsover,4,"21,900","17,400",35,"28,300","23,400",15,"16,000","16,200",48,"28,900","22,900",48,"3,450","1,920",165
